t (s),V (mV)
0,16.6434
0.999,16.587
1.999,16.5121
3,16.4553
3.999,16.4039
5.003,16.3302
5.999,16.2802
6.999,16.2341
7.999,16.1768
8.999,16.1288
10,16.0673
10.999,16.0343
11.999,15.9613
13,15.9154
13.999,15.8419
14.999,15.7853
15.999,15.7521
16.999,15.6864
17.999,15.6302
18.999,15.563
20,15.5
21,15.4503
21.999,15.4155
22.999,15.3664
23.999,15.2867
25,15.2357
26.001,15.2054
26.999,15.153
28,15.0818
28.999,15.0547
30,15.0104
30.999,14.9423
32,14.8832
32.999,14.8247
34,14.7837
34.999,14.7345
36,14.6907
36.999,14.6266
37.999,14.573
38.999,14.5098
39.999,14.4708
41.002,14.4179
41.999,14.3477
42.999,14.3077
43.999,14.2619
44.999,14.2178
46,14.1789
46.999,14.112
48,14.0598
48.999,14.0304
49.999,13.9693
50.999,13.9285
52,13.8743
53.002,13.8641
53.999,13.8012
54.999,13.7384
55.999,13.696
56.999,13.6423
58,13.595
58.999,13.5618
60,13.4948
60.999,13.438
61.999,13.4199
63,13.3801
64,13.349
64.999,13.2924
65.999,13.242
66.999,13.204
67.999,13.1484
68.999,13.095
70,13.0689
70.999,13.017
72,12.9456
73,12.9044
74,12.8807
75,12.8366
76,12.8095
76.999,12.754
77.999,12.7048
78.999,12.6803
79.999,12.6381
81,12.5912
81.999,12.5474
82.999,12.5108
84,12.4255
84.999,12.4019
85.999,12.3503
87,12.3664
87.999,12.3333
88.999,12.2903
90,12.2174
90.999,12.1551
91.999,12.1368
93,12.0742
93.999,12.0372
95,11.9756
96,11.9367
96.999,11.9086
97.999,11.8358
99,11.8124
99.999,11.7863
101,11.7605
101.999,11.7232
103,11.6824
103.999,11.6353
105,11.5749
106,11.5311
106.999,11.4896
107.999,11.4639
108.999,11.4432
110,11.4051
110.999,11.3619
112,11.3034
113,11.2627
113.999,11.2229
114.999,11.1936
116,11.1434
117,11.116
118,11.0696
118.999,11.0318
119.999,11.008
120.999,10.978
122,10.9169
122.999,10.8919
123.999,10.8706
125,10.8242
125.999,10.7768
127,10.7591
127.999,10.7248
129,10.6631
129.999,10.6241
130.998,10.5863
131.999,10.5417
132.998,10.5071
133.999,10.4789
134.998,10.4508
135.999,10.4417
136.998,10.3895
137.998,10.3658
138.999,10.3212
139.998,10.2872
140.998,10.2545
141.999,10.2087
142.998,10.1854
143.999,10.1494
144.998,10.11
146,10.0368
146.999,9.9997
147.998,10.0005
149,9.9548
149.999,9.9105
151,9.8799
151.999,9.8527
152.999,9.8351
154,9.7993
154.999,9.7511
155.999,9.7259
157,9.6967
157.999,9.6471
158.999,9.6553
160,9.5806
160.999,9.5675
162,9.4939
163,9.467
163.999,9.4143
164.999,9.4107
166,9.3943
167.003,9.364
167.999,9.2797
169,9.2245
169.999,9.1859
170.999,9.1801
172,9.1708
173.002,9.1277
173.999,9.1011
175,9.0752
175.999,9.0551
177,9.0311
177.999,8.9778
179,8.9434
179.999,8.9182
181,8.9119
181.999,8.865
183,8.8301
183.999,8.7856
185.002,8.7489
185.999,8.7273
187,8.7046
187.999,8.674
188.999,8.647
190,8.6158
191.002,8.5614
192,8.5533
192.999,8.5571
193.999,8.5242
194.999,8.4889
196,8.4495
196.999,8.4112
197.999,8.401
199,8.3659
199.999,8.35
201,8.3316
201.999,8.269
203.002,8.2725
203.999,8.2374
205,8.1651
205.999,8.1422
207,8.1407
207.999,8.1307
209,8.0903
209.999,8.0678
210.999,8.0611
212,8.0109
213,7.9914
214,7.9721
215.002,7.9479
